1;19;53;25;24975.00;
1;19;49;25;14975.00;
1;19;54;13;3639.74;
1;19;52;2;699.80;
1;19;36;31;8369.69;
1;19;58;37;14763.00;
1;19;50;49;24451.00;
1;19;56;8;3592.00;
1;19;63;14;1946.00;
1;19;44;33;12177.00;
1;19;59;35;10499.65;
1;19;64;41;2045.90;
1;19;60;9;1799.91;
1;19;62;1;249.00;
1;19;47;37;3326.30;
1;19;39;44;5719.56;
1;19;34;44;18039.56;
1;19;55;26;19474.00;
1;19;51;9;7200.00;
1;19;48;47;7002.53;
1;19;41;13;1819.87;
1;19;37;19;14819.81;
1;19;33;21;9869.79;
1;19;35;43;3439.57;
1;19;43;0;0.00;
1;19;38;9;3590.91;
1;19;45;11;1518.00;
1;19;46;35;20965.00;
1;19;40;30;2999.70;
1;19;57;21;3129.00;
1;19;61;48;4315.20;
1;19;42;8;1919.92;
1;21;53;30;29970.00;
1;21;49;32;19168.00;
1;21;54;23;6439.54;
1;21;52;15;5248.50;
1;21;36;44;11879.56;
1;21;58;38;15162.00;
1;21;50;47;23453.00;
1;21;56;4;1796.00;
1;21;63;30;4170.00;
1;21;44;21;7749.00;
1;21;59;29;8699.71;
1;21;64;25;1247.50;
1;21;60;30;5999.70;
1;21;62;47;11703.00;
1;21;47;34;3056.60;
1;21;39;39;5069.61;
1;21;34;24;9839.76;
1;21;55;34;25466.00;
1;21;51;45;36000.00;
1;21;48;14;2085.86;
1;21;41;42;5879.58;
1;21;37;48;37439.52;
1;21;33;14;6579.86;
1;21;35;24;1919.76;
1;21;43;3;422.70;
1;21;38;10;3989.90;
1;21;45;31;4278.00;
1;21;46;8;4792.00;
1;21;40;20;1999.80;
1;21;57;34;5066.00;
1;21;61;35;3146.50;
1;21;42;4;959.96;
1;29;53;42;41958.00;
1;29;49;4;2396.00;
1;29;54;1;279.98;
1;29;52;39;13646.10;
1;29;36;18;4859.82;
1;29;58;19;7581.00;
1;29;50;20;9980.00;
1;29;56;31;13919.00;
1;29;63;6;834.00;
1;29;44;18;6642.00;
1;29;59;25;7499.75;
1;29;64;24;1197.60;
1;29;60;7;1399.93;
1;29;62;13;3237.00;
1;29;47;0;0.00;
1;29;39;16;2079.84;
1;29;34;17;6969.83;
1;29;55;22;16478.00;
1;29;51;1;800.00;
1;29;48;48;7151.52;
1;29;41;19;2659.81;
1;29;37;15;11699.85;
1;29;33;10;4699.90;
1;29;35;0;0.00;
1;29;43;15;2113.50;
1;29;38;33;13166.67;
1;29;45;26;3588.00;
1;29;46;47;28153.00;
1;29;40;13;1299.87;
1;29;57;21;3129.00;
1;29;61;19;1708.10;
1;29;42;24;5759.76;
1;26;53;1;999.00;
1;26;49;16;9584.00;
1;26;54;35;9799.30;
1;26;52;47;16445.30;
1;26;36;36;9719.64;
1;26;58;37;14763.00;
1;26;50;9;4491.00;
1;26;56;14;6286.00;
1;26;63;3;417.00;
1;26;44;28;10332.00;
1;26;59;48;14399.52;
1;26;64;35;1746.50;
1;26;60;15;2999.85;
1;26;62;25;6225.00;
1;26;47;0;0.00;
1;26;39;24;3119.76;
1;26;34;19;7789.81;
1;26;55;26;19474.00;
1;26;51;26;20800.00;
1;26;48;26;3873.74;
1;26;41;47;6579.53;
1;26;37;45;35099.55;
1;26;33;5;2349.95;
1;26;35;19;1519.81;
1;26;43;37;5213.30;
1;26;38;31;12368.69;
1;26;45;45;6210.00;
1;26;46;38;22762.00;
1;26;40;25;2499.75;
1;26;57;4;596.00;
1;26;61;10;899.00;
1;26;42;31;7439.69;
1;32;53;3;2997.00;
1;32;49;35;20965.00;
1;32;54;7;1959.86;
